id,nama,prov,created_at,updated_at
255,BENGKULU,BENGKULU,2/1/2023 2:49,2/1/2023 3:54
256,BENGKULU SELATAN,BENGKULU,2/1/2023 2:49,2/1/2023 3:54
257,BENGKULU TENGAH,BENGKULU,2/1/2023 2:49,2/1/2023 3:54
258,BENGKULU UTARA,BENGKULU,2/1/2023 2:49,2/1/2023 3:54
259,KAUR,BENGKULU,2/1/2023 2:49,2/1/2023 3:54
260,KEPAHIANG,BENGKULU,2/1/2023 2:49,2/1/2023 3:54
261,LEBONG,BENGKULU,2/1/2023 2:49,2/1/2023 3:54
262,MUKO MUKO,BENGKULU,2/1/2023 2:49,2/1/2023 3:54
263,REJANG LEBONG,BENGKULU,2/1/2023 2:49,2/1/2023 3:54
264,SELUMA,BENGKULU,2/1/2023 2:49,2/1/2023 3:54
265,BALANGAN,KALIMANTAN SELATAN,2/1/2023 2:49,2/1/2023 3:54
266,BANJARBARU,KALIMANTAN SELATAN,2/1/2023 2:49,2/1/2023 3:54
267,BANJARMASIN,KALIMANTAN SELATAN,2/1/2023 2:49,2/1/2023 3:54
268,BARITO KUALA,KALIMANTAN SELATAN,2/1/2023 2:49,2/1/2023 3:54
269,HULU SUNGAI SELATAN,KALIMANTAN SELATAN,2/1/2023 2:49,2/1/2023 3:54
270,HULU SUNGAI TENGAH,KALIMANTAN SELATAN,2/1/2023 2:49,2/1/2023 3:54
271,HULU SUNGAI UTARA,KALIMANTAN SELATAN,2/1/2023 2:49,2/1/2023 3:54
272,KOTABARU,KALIMANTAN SELATAN,2/1/2023 2:49,2/1/2023 3:54
273,TABALONG,KALIMANTAN SELATAN,2/1/2023 2:49,2/1/2023 3:54
274,TANAH BUMBU,KALIMANTAN SELATAN,2/1/2023 2:49,2/1/2023 3:54
275,TANAH LAUT,KALIMANTAN SELATAN,2/1/2023 2:49,2/1/2023 3:54
276,TAPIN,KALIMANTAN SELATAN,2/1/2023 2:49,2/1/2023 3:54
277,BARITO SELATAN,KALIMANTAN TENGAH,2/1/2023 2:49,2/1/2023 3:54
278,BARITO TIMUR,KALIMANTAN TENGAH,2/1/2023 2:49,2/1/2023 3:54
279,BARITO UTARA,KALIMANTAN TENGAH,2/1/2023 2:49,2/1/2023 3:54
280,GUNUNG MAS,KALIMANTAN TENGAH,2/1/2023 2:49,2/1/2023 3:54
281,KAPUAS,KALIMANTAN TENGAH,2/1/2023 2:49,2/1/2023 3:54
282,KAPUAS,KALIMANTAN TENGAH,2/1/2023 2:49,2/1/2023 3:54
283,KATINGAN,KALIMANTAN TENGAH,2/1/2023 2:49,2/1/2023 3:54
284,KOTAWARINGIN BARAT,KALIMANTAN TENGAH,2/1/2023 2:49,2/1/2023 3:54
285,KOTAWARINGIN TIMUR,KALIMANTAN TENGAH,2/1/2023 2:49,2/1/2023 3:54
286,LAMANDAU,KALIMANTAN TENGAH,2/1/2023 2:49,2/1/2023 3:54
287,MURUNG RAYA,KALIMANTAN TENGAH,2/1/2023 2:49,2/1/2023 3:54
288,PALANGKA RAYA,KALIMANTAN TENGAH,2/1/2023 2:49,2/1/2023 3:54
289,PULANG PISAU,KALIMANTAN TENGAH,2/1/2023 2:49,2/1/2023 3:54
290,SERUYAN,KALIMANTAN TENGAH,2/1/2023 2:49,2/1/2023 3:54
291,SUKAMARA,KALIMANTAN TENGAH,2/1/2023 2:49,2/1/2023 3:54
292,BALIKPAPAN,KALIMANTAN TIMUR,2/1/2023 2:49,2/1/2023 3:54
293,BERAU,KALIMANTAN TIMUR,2/1/2023 2:49,2/1/2023 3:54
294,BONTANG,KALIMANTAN TIMUR,2/1/2023 2:49,2/1/2023 3:54
295,KUTAI BARAT,KALIMANTAN TIMUR,2/1/2023 2:49,2/1/2023 3:54
296,KUTAI KARTANEGARA,KALIMANTAN TIMUR,2/1/2023 2:49,2/1/2023 3:54
297,KUTAI TIMUR,KALIMANTAN TIMUR,2/1/2023 2:49,2/1/2023 3:54
298,MAHAKAM ULU,KALIMANTAN TIMUR,2/1/2023 2:49,2/1/2023 3:54
299,PASER,KALIMANTAN TIMUR,2/1/2023 2:49,2/1/2023 3:54
300,PENAJAM PASER UTARA,KALIMANTAN TIMUR,2/1/2023 2:49,2/1/2023 3:54
301,SAMARINDA,KALIMANTAN TIMUR,2/1/2023 2:49,2/1/2023 3:54
302,BULUNGAN,KALIMANTAN UTARA,2/1/2023 2:49,2/1/2023 3:54
303,MALINAU,KALIMANTAN UTARA,2/1/2023 2:49,2/1/2023 3:54
304,NUNUKAN,KALIMANTAN UTARA,2/1/2023 2:49,2/1/2023 3:54
305,TANA TIDUNG,KALIMANTAN UTARA,2/1/2023 2:49,2/1/2023 3:54
306,TARAKAN,KALIMANTAN UTARA,2/1/2023 2:49,2/1/2023 3:54
307,BENGKAYANG,KALIMANTAN BARAT,2/1/2023 2:49,2/1/2023 3:54
308,KAPUAS HULU,KALIMANTAN BARAT,2/1/2023 2:49,2/1/2023 3:54
309,KAYONG UTARA,KALIMANTAN BARAT,2/1/2023 2:49,2/1/2023 3:54
310,KETAPANG,KALIMANTAN BARAT,2/1/2023 2:49,2/1/2023 3:54
311,KUBU RAYA,KALIMANTAN BARAT,2/1/2023 2:49,2/1/2023 3:54
312,LANDAK,KALIMANTAN BARAT,2/1/2023 2:49,2/1/2023 3:54
313,MELAWI,KALIMANTAN BARAT,2/1/2023 2:49,2/1/2023 3:54
314,MEMPAWAH,KALIMANTAN BARAT,2/1/2023 2:49,2/1/2023 3:54
315,PONTIANAK,KALIMANTAN BARAT,2/1/2023 2:49,2/1/2023 3:54
316,SAMBAS,KALIMANTAN BARAT,2/1/2023 2:49,2/1/2023 3:54
317,SANGGAU,KALIMANTAN BARAT,2/1/2023 2:49,2/1/2023 3:54
318,SEKADAU,KALIMANTAN BARAT,2/1/2023 2:49,2/1/2023 3:54
319,SINGKAWANG,KALIMANTAN BARAT,2/1/2023 2:49,2/1/2023 3:54
320,SINTANG,KALIMANTAN BARAT,2/1/2023 2:49,2/1/2023 3:54
321,BIMA,NUSA TENGGARA BARAT (NTB),2/1/2023 2:49,2/1/2023 3:54
322,BIMA,NUSA TENGGARA BARAT (NTB),2/1/2023 2:49,2/1/2023 3:54
323,DOMPU,NUSA TENGGARA BARAT (NTB),2/1/2023 2:49,2/1/2023 3:54
324,LOMBOK BARAT,NUSA TENGGARA BARAT (NTB),2/1/2023 2:49,2/1/2023 3:54
325,LOMBOK TENGAH,NUSA TENGGARA BARAT (NTB),2/1/2023 2:49,2/1/2023 3:54
326,LOMBOK TIMUR,NUSA TENGGARA BARAT (NTB),2/1/2023 2:49,2/1/2023 3:54
327,LOMBOK UTARA,NUSA TENGGARA BARAT (NTB),2/1/2023 2:49,2/1/2023 3:54
328,MATARAM,NUSA TENGGARA BARAT (NTB),2/1/2023 2:49,2/1/2023 3:54
329,SUMBAWA,NUSA TENGGARA BARAT (NTB),2/1/2023 2:49,2/1/2023 3:54
330,SUMBAWA BARAT,NUSA TENGGARA BARAT (NTB),2/1/2023 2:49,2/1/2023 3:54
331,ENDE,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
332,FLORES TIMUR,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
333,ALOR,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
334,BELU,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
335,ENDE,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
336,FLORES TIMUR,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
337,KUPANG,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
338,KUPANG,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
339,LEMBATA,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
340,MALAKA,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
341,MANGGARAI,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
342,MANGGARAI BARAT,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
343,MANGGARAI TIMUR,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
344,NAGEKEO,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
345,NGADA,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
346,ROTE NDAO,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
347,SABU RAIJUA,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
348,SIKKA,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
349,SUMBA BARAT,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
350,SUMBA BARAT DAYA,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
351,SUMBA TENGAH,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
352,SUMBA TIMUR,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
353,TIMOR TENGAH SELATAN,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
354,TIMOR TENGAH UTARA,NUSA TENGGARA TIMUR (NTT),2/1/2023 2:49,2/1/2023 3:54
355,MAJENE,SULAWESI BARAT,2/1/2023 2:49,2/1/2023 3:54
356,MAMASA,SULAWESI BARAT,2/1/2023 2:49,2/1/2023 3:54
357,MAMUJU,SULAWESI BARAT,2/1/2023 2:49,2/1/2023 3:54
358,MAMUJU TENGAH,SULAWESI BARAT,2/1/2023 2:49,2/1/2023 3:54
359,MAMUJU UTARA,SULAWESI BARAT,2/1/2023 2:49,2/1/2023 3:54
360,POLEWALI MANDAR,SULAWESI BARAT,2/1/2023 2:49,2/1/2023 3:54
361,BANTAENG,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
362,BARRU,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
363,BONE,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
364,BULUKUMBA,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
365,ENREKANG,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
366,GOWA,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
367,JENEPONTO,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
368,KEPULAUAN SELAYAR,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
369,LUWU,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
370,LUWU TIMUR,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
371,LUWU UTARA,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
372,MAKASSAR,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
373,MAROS,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
374,PALOPO,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
375,PANGKAJENE KEPULAUAN,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
376,PAREPARE,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
377,PINRANG,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
378,SIDENRENG RAPPANG,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
379,SINJAI,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
380,SOPPENG,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
381,TAKALAR,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
382,TANA TORAJA,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
383,TORAJA UTARA,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
384,WAJO,SULAWESI SELATAN,2/1/2023 2:49,2/1/2023 3:54
385,BANGGAI,SULAWESI TENGAH,2/1/2023 2:49,2/1/2023 3:54
386,BANGGAI KEPULAUAN,SULAWESI TENGAH,2/1/2023 2:49,2/1/2023 3:54
387,BANGGAI LAUT,SULAWESI TENGAH,2/1/2023 2:49,2/1/2023 3:54
388,BUOL,SULAWESI TENGAH,2/1/2023 2:49,2/1/2023 3:54
389,DONGGALA,SULAWESI TENGAH,2/1/2023 2:49,2/1/2023 3:54
390,MOROWALI,SULAWESI TENGAH,2/1/2023 2:49,2/1/2023 3:54
391,MOROWALI UTARA,SULAWESI TENGAH,2/1/2023 2:49,2/1/2023 3:54
392,PALU,SULAWESI TENGAH,2/1/2023 2:49,2/1/2023 3:54
393,PARIGI MOUTONG,SULAWESI TENGAH,2/1/2023 2:49,2/1/2023 3:54
394,POSO,SULAWESI TENGAH,2/1/2023 2:49,2/1/2023 3:54
395,SIGI,SULAWESI TENGAH,2/1/2023 2:49,2/1/2023 3:54
396,TOJO UNA-UNA,SULAWESI TENGAH,2/1/2023 2:49,2/1/2023 3:54
397,TOLI-TOLI,SULAWESI TENGAH,2/1/2023 2:49,2/1/2023 3:54
398,BAU-BAU,SULAWESI TENGGARA,2/1/2023 2:49,2/1/2023 3:54
399,BOMBANA,SULAWESI TENGGARA,2/1/2023 2:49,2/1/2023 3:54
400,BUTON,SULAWESI TENGGARA,2/1/2023 2:49,2/1/2023 3:54
401,BUTON SELATAN,SULAWESI TENGGARA,2/1/2023 2:49,2/1/2023 3:54
402,BUTON TENGAH,SULAWESI TENGGARA,2/1/2023 2:49,2/1/2023 3:54
403,BUTON UTARA,SULAWESI TENGGARA,2/1/2023 2:49,2/1/2023 3:54
404,KENDARI,SULAWESI TENGGARA,2/1/2023 2:49,2/1/2023 3:54
405,KOLAKA,SULAWESI TENGGARA,2/1/2023 2:49,2/1/2023 3:54
406,KOLAKA TIMUR,SULAWESI TENGGARA,2/1/2023 2:49,2/1/2023 3:54
407,KOLAKA UTARA,SULAWESI TENGGARA,2/1/2023 2:49,2/1/2023 3:54
408,KONAWE,SULAWESI TENGGARA,2/1/2023 2:49,2/1/2023 3:54
409,KONAWE KEPULAUAN,SULAWESI TENGGARA,2/1/2023 2:49,2/1/2023 3:54
410,KONAWE SELATAN,SULAWESI TENGGARA,2/1/2023 2:49,2/1/2023 3:54
411,KONAWE UTARA,SULAWESI TENGGARA,2/1/2023 2:49,2/1/2023 3:54
412,MUNA,SULAWESI TENGGARA,2/1/2023 2:49,2/1/2023 3:54
413,MUNA BARAT,SULAWESI TENGGARA,2/1/2023 2:49,2/1/2023 3:54
414,WAKATOBI,SULAWESI TENGGARA,2/1/2023 2:49,2/1/2023 3:54
415,BITUNG,SULAWESI UTARA,2/1/2023 2:49,2/1/2023 3:54
416,BOLAANG MONGONDOW,SULAWESI UTARA,2/1/2023 2:49,2/1/2023 3:54
417,BOLAANG MONGONDOW SELATAN,SULAWESI UTARA,2/1/2023 2:49,2/1/2023 3:54
418,BOLAANG MONGONDOW TIMUR,SULAWESI UTARA,2/1/2023 2:49,2/1/2023 3:54
419,BOLAANG MONGONDOW UTARA,SULAWESI UTARA,2/1/2023 2:49,2/1/2023 3:54
420,KEPULAUAN SANGIHE,SULAWESI UTARA,2/1/2023 2:49,2/1/2023 3:54
421,KEPULAUAN SIAU TAGULANDANG BIARO (SITARO),SULAWESI UTARA,2/1/2023 2:49,2/1/2023 3:54
422,KEPULAUAN TALAUD,SULAWESI UTARA,2/1/2023 2:49,2/1/2023 3:54
423,KOTAMOBAGU,SULAWESI UTARA,2/1/2023 2:49,2/1/2023 3:54
424,MANADO,SULAWESI UTARA,2/1/2023 2:49,2/1/2023 3:54
425,MINAHASA,SULAWESI UTARA,2/1/2023 2:49,2/1/2023 3:54
426,MINAHASA SELATAN,SULAWESI UTARA,2/1/2023 2:49,2/1/2023 3:54
427,MINAHASA TENGGARA,SULAWESI UTARA,2/1/2023 2:49,2/1/2023 3:54
428,MINAHASA UTARA,SULAWESI UTARA,2/1/2023 2:49,2/1/2023 3:54
429,TOMOHON,SULAWESI UTARA,2/1/2023 2:49,2/1/2023 3:54
430,BOALEMO,GORONTALO,2/1/2023 2:49,2/1/2023 3:54
431,BONE BOLANGO,GORONTALO,2/1/2023 2:49,2/1/2023 3:54
432,GORONTALO,GORONTALO,2/1/2023 2:49,2/1/2023 3:54
433,GORONTALO UTARA,GORONTALO,2/1/2023 2:49,2/1/2023 3:54
434,POHUWATO,GORONTALO,2/1/2023 2:49,2/1/2023 3:54
435,AMBON,MALUKU,2/1/2023 2:49,2/1/2023 3:54
436,BURU,MALUKU,2/1/2023 2:49,2/1/2023 3:54
437,BURU SELATAN,MALUKU,2/1/2023 2:49,2/1/2023 3:54
438,KEPULAUAN ARU,MALUKU,2/1/2023 2:49,2/1/2023 3:54
439,MALUKU BARAT DAYA,MALUKU,2/1/2023 2:49,2/1/2023 3:54
440,MALUKU TENGAH,MALUKU,2/1/2023 2:49,2/1/2023 3:54
441,MALUKU TENGGARA,MALUKU,2/1/2023 2:49,2/1/2023 3:54
442,MALUKU TENGGARA BARAT,MALUKU,2/1/2023 2:49,2/1/2023 3:54
443,SERAM BAGIAN BARAT,MALUKU,2/1/2023 2:49,2/1/2023 3:54
444,SERAM BAGIAN TIMUR,MALUKU,2/1/2023 2:49,2/1/2023 3:54
445,TUAL,MALUKU,2/1/2023 2:49,2/1/2023 3:54
446,HALMAHERA BARAT,MALUKU UTARA,2/1/2023 2:49,2/1/2023 3:54
447,HALMAHERA SELATAN,MALUKU UTARA,2/1/2023 2:49,2/1/2023 3:54
448,HALMAHERA TENGAH,MALUKU UTARA,2/1/2023 2:49,2/1/2023 3:54
449,HALMAHERA TIMUR,MALUKU UTARA,2/1/2023 2:49,2/1/2023 3:54
450,HALMAHERA UTARA,MALUKU UTARA,2/1/2023 2:49,2/1/2023 3:54
451,KEPULAUAN SULA,MALUKU UTARA,2/1/2023 2:49,2/1/2023 3:54
452,PULAU MOROTAI,MALUKU UTARA,2/1/2023 2:49,2/1/2023 3:54
453,PULAU TALIABU,MALUKU UTARA,2/1/2023 2:49,2/1/2023 3:54
454,TERNATE,MALUKU UTARA,2/1/2023 2:49,2/1/2023 3:54
455,TIDORE KEPULAUAN,MALUKU UTARA,2/1/2023 2:49,2/1/2023 3:54
456,ASMAT,PAPUA,2/1/2023 2:49,2/1/2023 3:54
457,BIAK NUMFOR,PAPUA,2/1/2023 2:49,2/1/2023 3:54
458,BOVEN DIGOEL,PAPUA,2/1/2023 2:49,2/1/2023 3:54
459,DEIYAI,PAPUA,2/1/2023 2:49,2/1/2023 3:54
460,DOGIYAI,PAPUA,2/1/2023 2:49,2/1/2023 3:54
461,INTAN JAYA,PAPUA,2/1/2023 2:49,2/1/2023 3:54
462,JAYAPURA,PAPUA,2/1/2023 2:49,2/1/2023 3:54
463,JAYAPURA,PAPUA,2/1/2023 2:49,2/1/2023 3:54
464,JAYAWIJAYA,PAPUA,2/1/2023 2:49,2/1/2023 3:54
465,KEEROM,PAPUA,2/1/2023 2:49,2/1/2023 3:54
466,KEPULAUAN YAPEN,PAPUA,2/1/2023 2:49,2/1/2023 3:54
467,LANNY JAYA,PAPUA,2/1/2023 2:49,2/1/2023 3:54
468,MAMBERAMO RAYA,PAPUA,2/1/2023 2:49,2/1/2023 3:54
469,MAMBERAMO TENGAH,PAPUA,2/1/2023 2:49,2/1/2023 3:54
470,MAPPI,PAPUA,2/1/2023 2:49,2/1/2023 3:54
471,MERAUKE,PAPUA,2/1/2023 2:49,2/1/2023 3:54
472,MIMIKA,PAPUA,2/1/2023 2:49,2/1/2023 3:54
473,NABIRE,PAPUA,2/1/2023 2:49,2/1/2023 3:54
474,NDUGA,PAPUA,2/1/2023 2:49,2/1/2023 3:54
475,PANIAI,PAPUA,2/1/2023 2:49,2/1/2023 3:54
476,PEGUNUNGAN BINTANG,PAPUA,2/1/2023 2:49,2/1/2023 3:54
477,PUNCAK,PAPUA,2/1/2023 2:49,2/1/2023 3:54
478,PUNCAK JAYA,PAPUA,2/1/2023 2:49,2/1/2023 3:54
479,SARMI,PAPUA,2/1/2023 2:49,2/1/2023 3:54
480,SUPIORI,PAPUA,2/1/2023 2:49,2/1/2023 3:54
481,TOLIKARA,PAPUA,2/1/2023 2:49,2/1/2023 3:54
482,WAROPEN,PAPUA,2/1/2023 2:49,2/1/2023 3:54
483,YAHUKIMO,PAPUA,2/1/2023 2:49,2/1/2023 3:54
484,YALIMO,PAPUA,2/1/2023 2:49,2/1/2023 3:54
485,FAKFAK,PAPUA BARAT,2/1/2023 2:49,2/1/2023 3:54
486,KAIMANA,PAPUA BARAT,2/1/2023 2:49,2/1/2023 3:54
487,MANOKWARI,PAPUA BARAT,2/1/2023 2:49,2/1/2023 3:54
488,MANOKWARI SELATAN,PAPUA BARAT,2/1/2023 2:49,2/1/2023 3:54
489,MAYBRAT,PAPUA BARAT,2/1/2023 2:49,2/1/2023 3:54
490,PEGUNUNGAN ARFAK,PAPUA BARAT,2/1/2023 2:49,2/1/2023 3:54
491,RAJA AMPAT,PAPUA BARAT,2/1/2023 2:49,2/1/2023 3:54
492,SORONG,PAPUA BARAT,2/1/2023 2:49,2/1/2023 3:54
493,SORONG,PAPUA BARAT,2/1/2023 2:49,2/1/2023 3:54
494,SORONG SELATAN,PAPUA BARAT,2/1/2023 2:49,2/1/2023 3:54
495,TAMBRAUW,PAPUA BARAT,2/1/2023 2:49,2/1/2023 3:54
496,TELUK BINTUNI,PAPUA BARAT,2/1/2023 2:49,2/1/2023 3:54
497,TELUK WONDAMA,PAPUA BARAT,2/1/2023 2:49,2/1/2023 3:54
